Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
371	"P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P4 (Q4)"	"2
5"	E	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	1	"13, 12, 18, 5, 15, 26"	2	4	A	"26, 24, 34, 21, 28, 54"	"30, 26, 34, 21, 28, 54"	"A, C"	4	"mad
mid
midterm
mind
mint"	"B, D"	5	4	30	29		D		
372	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	B	E	"B, D"	"A, B, C, E, F"		44	51	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
373	"P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9)"	"5
5"	"A, B, D, E"	A	"gdb break myprogram.cpp:56 if not current file, if current file gdb break 56"	hlo	"A, B, C"	E	"B, C"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	D	"B, C"					"A, B, D"				4										
374	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5 
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h 
l
o"	B	E	"A, B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, E"
375	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, D, E"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	1	E	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	24	6	5	G	G	"C, E"
376	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q9),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8)"	"5
3"	"D, E"	"A, B, C"	b 56	hlo	B	E	"C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	4	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"21, 24, 28, 26, 34, 54"	"21, 26, 30, 28, 34, 54"	"A, B, C, D"	6	"MAD
MIDMTERM
MIND
MINT"	"B, D"	4	4	25	4	4	B	B	"B, C, D, E"
377	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"A, B"	E	"A, B"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	6	B	C	"A, C, E"
378	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q9),P4 (Q10)"	"5
3"	C	"A, B, C"	break myprogram.cpp:56	hlo	"B, C"	E	"B, C, D"	"B, C, D, E"		1	99	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	4	B	"A, C, D"	1	"13, 12, 26, 5, 15, 18"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	5	4	10	4	4	C	C	"C, E"
379	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b 56	hlo	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	"B, C"	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	6	B	C	"C, E"
380	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	hlo	B	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
381	"P1 (Q1),P1 (Q2),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	6	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	B	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MINT
MIND"	B	4	4	10	4	4	B	C	"C, E"
382	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, C"	r myprogram.cpp:56	"h
l
o"	"B, C"	D	"B, C, D"	"A, B, C, F"		1	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	9	4	3	B	C	"C, E"
383	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q9),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	D	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	G	"C, E"
384	"P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
5"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"		D		"A, C, D, E, F"			49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A				4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	7	4	4	B	C	
385	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	10	4	5	B	C	"A, B, C, E"
386	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"B, C, F"		44	51	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	B	4	4	10	4	4	B	C	D
387	"P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q9)"	"5
5"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, D"	"A, B, C"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	24	23		B	C	
388	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	hlo	"A, B"	E	"C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D, E"	7	"mad
mid
midterm
mind
mint"	B	4	4	9	4	5	B	C	"C, D, E"
389	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"B, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	3	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, E"
390	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q4)"	"5
3"	D	"A, B, C"	"break 56
b 56"	"h
l
o"		E		"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	5	4						
391	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8),P4 (Q1),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"		1	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	E	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"B, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	3	4	30	4	5	B	C	"A, B, C, E"
392	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	br 56	"h
l
o"	"B, C"	D	"A, B, C, D"	"A, B, C, E, F"		44	98	2	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	4	"MAD
MID
MIDTERM
MIND
MINT"	"B, C"	4	4	5	4	4	B	C	"C, E"
393	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, D"	"A, C, F"		42	49	2	"A, C, D"	"C, E"	"E, C, L, B, F, A, G"	C	A	2	D	"A, C, D"	3				"A, C, D"			F	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	4	B	C	"A, C, E"
394	"P1 (Q3),P1 (Q7),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q6),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"2
5"	D	"A, B, C"	br 56		"A, B, C"	E	"B, D"	"A, B, C, D, E, F"		1	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	C	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	2	"A, C"	"34, 24, 54, 21, 26, 28"	"34, 21, 26, 28, 30, 54"	"A, C"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"A, C, E"
395	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q4),P3 (Q5),P3 (Q7),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C"	2		2	1	E	"26, 21, 34, 24, 28, 54"				"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	7	4	4			
396	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break 56	hlo	C	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	8	4	4	B	C	E
397	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	E	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
398	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"		"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, D"	E				44	49	2	"A, C, D"	B	"E, C, L, B, F, A, G"	B	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"B, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	10	B	C	"C, E"
399	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break 57	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	8	B	C	"C, E"
